"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jan 10 10:40:01 GMT 2020","Fri Jan 10 10:40:01 GMT 2020","156","","Delete API Feature Testing:","","Delete API Feature Testing:","Verify a deleting the entry successful call - STATUS","Verify a deleting the entry successful call - STATUS",""
"passed","Fri Jan 10 10:40:01 GMT 2020","Fri Jan 10 10:40:01 GMT 2020","5","","Post API Feature Testing:","","Post API Feature Testing:","Verify a User could not add unsuccessful call - STATUS","Verify a User could not add unsuccessful call - STATUS",""
"passed","Fri Jan 10 10:40:01 GMT 2020","Fri Jan 10 10:40:01 GMT 2020","6","","Put API Feature Testing:","","Put API Feature Testing:","Verify User NOT able to update existing record - unsuccessful call - STATUS","Verify User NOT able to update existing record - unsuccessful call - STATUS",""
"passed","Fri Jan 10 10:40:01 GMT 2020","Fri Jan 10 10:40:01 GMT 2020","6","","Get API Feature Testing:","","Get API Feature Testing:","Verify a GET a single product unsuccessful call - STATUS","Verify a GET a single product unsuccessful call - STATUS",""
"passed","Fri Jan 10 10:40:01 GMT 2020","Fri Jan 10 10:40:01 GMT 2020","7","","Get API Feature Testing:","","Get API Feature Testing:","Verify a getting a single product successful call - BODY","Verify a getting a single product successful call - BODY",""
"failed","Fri Jan 10 10:40:01 GMT 2020","Fri Jan 10 10:40:01 GMT 2020","114","","Put API Feature Testing:","","Put API Feature Testing:","Verify User able to update existing record - successful call - STATUS","Verify User able to update existing record - successful call - STATUS",""
"failed","Fri Jan 10 10:40:01 GMT 2020","Fri Jan 10 10:40:01 GMT 2020","117","","Post API Feature Testing:","","Post API Feature Testing:","Verify a User able to add New Product - STATUS","Verify a User able to add New Product - STATUS",""
"passed","Fri Jan 10 10:40:01 GMT 2020","Fri Jan 10 10:40:01 GMT 2020","5","","Get All API Feature Testing:","","Get All API Feature Testing:","Verify getting All Products successful call - STATUS","Verify getting All Products successful call - STATUS",""
"passed","Fri Jan 10 10:40:01 GMT 2020","Fri Jan 10 10:40:01 GMT 2020","8","","Delete API Feature Testing:","","Delete API Feature Testing:","Verify invalid deleting unsuccessful call - STATUS","Verify invalid deleting unsuccessful call - STATUS",""
"failed","Fri Jan 10 10:40:01 GMT 2020","Fri Jan 10 10:40:01 GMT 2020","7","","Get API Feature Testing:","","Get API Feature Testing:","Verify a getting a single product successful call - STATUS","Verify a getting a single product successful call - STATUS",""
